id,collection,dc.contributor.author,dc.contributor.author[],dc.contributor.author[en],dc.contributor.editor[],dc.date.issued,dc.date.issued[en],dc.description.abstract[en],dc.identifier.citation,dc.identifier.citation[en],dc.identifier.isbn,dc.identifier.issn,dc.identifier.issn[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[en],dc.publisher,dc.publisher[en],dc.rights.uri[],dc.rights.uri[en],dc.rights[en],dc.source.uri[],dc.source.uri[en],dc.subject.anzsrc[en],dc.subject.marsden[en],dc.subject[en],dc.title,dc.title.alternative[en],dc.title[en],dc.type,dc.type[],dc.type[en],uc.bibnumber[en],uc.number[],uc.number[en],uc.publicationid[],uc.publicationid[en]
"9227","10092/8435","Gordon, Liz",,,,,"2013","In conclusion, it is found that definitions of success and failure in the schooling system vary enormously over time and across different contexts. In New Zealand, the adoption of the NCEA has provided the opportunity to improve learning outcomes in the senior school. The 2009 PISA results confirm that New Zealand has one of the best schooling systems in the world, and provides certainty that over 85% of students in school at age 16 have the skills to live and work effectively in our society.",,,"978-0-9876543-5-9",,,"http://hdl.handle.net/10092/8437",,"en",,"New Zealand Post Primary Teachers' Association (PPTA)",,,"Creative Commons Attribution-Non-Commercial-NoDerivs 3.0 Unported license",,,,,,,,"Who achieves what in secondary schooling? A conceptual and empirical analysis.","Reports",,,"1958629",,,,
"9225","10092/8435","Easton, B",,,,"2013",,"The average PISA scores on the three dimensions of reading, mathematics and science literacy of New Zealand fifteen year-olds are high among the OECD countries. There are differences by ethnicity and class (and to a lesser extent gender), which are explored in this report.",,,"978-0-9876543-6-6",,,"http://hdl.handle.net/10092/8436",,"en",,,,,"This work is made available under the terms of the Creative Commons Attribution-Non-Commercial-NoDerivs 3.0 Unported license.",,,,,,,,"Ethnicity, gender, socioeconomic status and educational achievement: An exploration","Reports",,,"1956822",,,,
"9226","10092/8435","Boyle, Tony",,,,,"2011","The Waimakariri River is currently migrating rapidly southwards. This report examines matters pertaining to this and recommends for reasons set out no action to halt this migration for the short to medium term.",,,"978-1-927257-74-6",,,"http://hdl.handle.net/10092/8438",,"en",,"Environment Canterbury",,,,,,,,,,"Report No. R11/121","An investigation into the southward migration of the Waimakariri River mouth",,,,"1958628",,,,
"16146","10092/13353","Hickson S||Gunby P",,,,"2016",,,"Hickson S, Gunby P (2016). The velocity of circulation – not constant and not irrelevant. Melbourne: Australasian Teaching Economics Conference. 7/7/2016-8/7/2016.",,,,,"http://hdl.handle.net/10092/13581",,,,,,,,,,,,,"The velocity of circulation – not constant and not irrelevant",,,"Conference Contributions - Other",,,,,,,
"16168","10092/13353","Connell T||Rennell E||Shirakawa M||Quinn H",,,,,"2011",,,"Connell T, Rennell E, Shirakawa M, Quinn H (2011). A case for Voice. Wellington, New Zealand: Linguistics Society of New Zealand 19th Biennial Conference. 17/11/2011-18/11/2011.",,,,"http://hdl.handle.net/10092/15106",,"en",,,,,,,,"Field of Research::20 - Language, Communication and Culture::2004 - Linguistics",,,,,"A case for Voice",,,"Conference Contributions - Other",,,,,
"16330","10092/13353","Palermo A||Liu R||Rais A||McHaffie B||Pampanin S||Gentile R||Nuzzo I||Granerio M||Loporcaro G||McGann CR||Wotherspoon LM||Andisheh, K",,,,,"2017","The transport infrastructure was majorly affected by the 14th November 2016 Kaikōura Earthquake. Severe vertical and horizontal peak ground accelerations generated high inertial forces, land-slides, and liquefaction. Most of the bridges in the Hurunui, Malborough and Kaikōura districts were critical nodes to the railway and road networks. In total, 904 road bridges across those districts were affected. Two reached the life safety limit state, suffering severe damage, however, most of the affected bridges experienced only minor to moderate damage. This paper describes the structural performance of the most severely damaged bridges based on observations made from site inspections. In addition to this, several performance issues have arisen from this event and are posed in this paper, hopefully to be addressed in the near future.",,"Palermo A, Liu R, Rais A, McHaffie B, Andesheh K, Pampanin S, Gentile R, Nuzzo I, Granerio M, Loporcaro G, McGann CR, Wotherspoon LM (2017). Performance of road bridges during the 14 November 2016 Kaikoura Earthquake. Bulletin of the New Zealand Society for Earthquake Engineering. 50(2). 253-270.",,"1174-9857",,"http://hdl.handle.net/10092/15109",,"en",,,,,,,,"Field of Research::09 - Engineering::0905 - Civil Engineering::090504 - Earthquake Engineering||Field of Research::09 - Engineering::0905 - Civil Engineering::090505 - Infrastructure Engineering and Asset Management||Field of Research::09 - Engineering::0905 - Civil Engineering::090506 - Structural Engineering",,,,,"Performance of road bridges during the 14 November 2016 Kaikoura Earthquake",,,"Journal Article",,,,,
"16331","10092/13353","McGann CR||Bradley BA||Cubrinovski M",,,,,"2015","This paper provides a summary of the development of a shear wave velocity (Vs) model for
the greater urban area of Christchurch, New Zealand. The model is based on the application of
the recently developed Christchurch-specific empirical correlation between Vs and cone
penetration test (CPT) data (McGann et al. 2015a,b) to the large existing high-spatial-density
database of CPT logs in the Christchurch region (CGD 2014). Applications of this Vs model
are demonstrated through the development of a map of time-averaged Vs in the first 5 m
below the surface and typical Vs profiles for different regions within Christchurch.",,"McGann CR, Bradley BA, Cubrinovski M (2015). Spatial variability in surficial Christchurch soils via 5 m shear wave velocity Vs5. Christchurch, New Zealand: 6th International Conference on Earthquake Geotechnical Engineering (6ICEGE). 1/11/2015-4/11/2015.",,,,"http://hdl.handle.net/10092/15110",,"en",,,,,,,,"Field of Research::09 - Engineering::0905 - Civil Engineering::090501 - Civil Geotechnical Engineering||Field of Research::04 - Earth Sciences::0404 - Geophysics::040407 - Seismology and Seismic Exploration",,,,,"Spatial variability in surficial Christchurch soils via 5 m shear wave velocity Vs5",,,"Conference Contributions - Published",,,,,
"17827","10092/13353","Gray R||Milne MJ",,,,"2018",,,"Gray R, Milne MJ (2018). Perhaps the Dodo Should Have Accounted for Humanity? Accounts of Humanity and (Its) Extinction. Accounting, Auditing and Accountability Journal.",,,"0951-3574",,"http://hdl.handle.net/10092/15345",,,,,,,,,,,,,"Perhaps the Dodo Should Have Accounted for Humanity? Accounts of Humanity and (Its) Extinction",,,"Journal Articles",,,,,,,
"17857","10092/13353","Teschers C",,,,,"2016","The notions of well-being and happiness are widely used today in a range of disciplines, areas of research, educational practice and daily life. However, these terms have to be considered critically, and careful reflection on their meaning is needed in each context where they are used (Soutter, Gilmore & O’Steen 2011). One reflection in the context of education has been conducted in relation to positive psychology as well as philosophical concepts and questions such as how to live a good life, the art of living and especially Schmid’s (2000) concept of Lebenskunst or ‘art of living’ (Teschers 2013). Still, the research undertaken to connect these concepts with the area of early childhood education in particular has been rather limited. The current paper is one step to bridge this gap by exploring how the concept of the art of living relates to early childhood education and the notion of well-being as it is used in the New Zealand early childhood curriculum Te Whāriki (Ministry of Education 1996). It is proposed that early childhood educators can support the development of children’s abilities to enable them to engage actively in shaping their own lives and developing their own art of living earlier rather than later in their lives. Further, suggestions are made for teaching practice about ways early childhood educators can support young children to become reflective, autonomous and knowledgeable human beings, who are able to take responsibility for their own lives.",,"Teschers C (2016). The role of the art of living in early childhood education. Journal of Philosophy in Schools. 3(2). 40-50.",,,,"http://hdl.handle.net/10092/15120",,"en",,,,,,,,"Field of Research::22 - Philosophy and Religious Studies::2203 - Philosophy::220319 - Social Philosophy||Field of Research::13 - Education::1301 - Education Systems::130102 - Early Childhood Education (excl. Māori)||Field of Research::13 - Education::1303 - Specialist Studies in Education::130309 - Learning Sciences",,"Art of living||philosophy for children||community of inquiry||education for life||wellbeing||good life||early childhood education",,,"The role of the art of living in early childhood education",,,"Journal Article",,,,,
"17856","10092/13353","D'Olimpio L||Teschers C",,,,,"2017","It can hardly be denied that play is an important tool for the development and socialisation of children. In this article we argue that through dramaturgical play in combination with pedagogical tools such as the Community of Inquiry (CoI), in the tradition of Philosophy for Children (P4C), students can creatively think, reflect and be more aware of the impact their gestures have on others. One of the most fundamental aspects of the embodied human life is human interaction that is based on expressions, what Schmid calls gestures. Through self-reflection, one’s set of gestures can be developed into a deliberate ‘life-performance’ – a conscious, selected and coherent work of art. Drawing on Nietzsche’s idea of living artistically, we explore how Schmid’s philosophy of the art of living, P4C and the liberal arts, with a focus on drama education, can work together to help children develop their own art of living while respecting and supporting the development of the good and beautiful life of others.",,"D'Olimpio L, Teschers C (2017). Playing with philosophy: Gestures, life-performance, P4C and an art of living. Educational Philosophy and Theory. 1-10.",,"0013-1857||1469-5812",,"http://hdl.handle.net/10092/15122",,"en",,,,,,,"10.1080/00131857.2017.1294974","Field of Research::22 - Philosophy and Religious Studies::2203 - Philosophy::220319 - Social Philosophy||Field of Research::13 - Education::1301 - Education Systems::130105 - Primary Education (excl. Māori)||Field of Research::13 - Education::1303 - Specialist Studies in Education::130309 - Learning Sciences||Field of Research::19 - Studies in the Creative Arts and Writing::1904 - Performing Arts and Creative Writing::190404 - Drama, Theatre and Performance Studies",,"P4C||art of living||gestures||life-performance||CoI||drama education",,,"Playing with philosophy: Gestures, life-performance, P4C and an art of living",,,"Journal Article",,,,,
"16685","10092/13353","Lee CL",,,,,"2017","Post-tensioned rocking beams and columns are popularly used in earthquake-resistant structures because of their selfcentring
and low-damage response characteristics. Rocking actions in these members arise from the open-and-close action
at their two end joints. A post-tensioned prestressing tendon passing through the members and the joints provides the axial
and moment continuity between the members and the joints. Rocking at member interior joints may also be provided for
segmental rocking members, which are usually used as bridge piers. Because the plane sections of the rocking members at
the joints do not remain plane during the rocking action, the traditional beam-column finite elements based on classical
plane-section beam theories are no longer applicable to simulate the rocking motions. As a result, a new type of beamcolumn
finite element is needed. In this paper, a new rocking beam-column element is proposed. The new element allows
multiple rocking joints to be anywhere within the beam-column members, and, therefore, is applicable to both traditional
end rocking members and segmental rocking members. It is derived based on the mixed formulation that interpolates the
force field exactly but satisfies the strain-displacement compatibility weakly. The formulation allows the relaxation of
plane-section assumption at the rocking joints using the idea of multispring models. The new element can be readily used to
simulate the seismic response of a large-scale structures with multiple rocking beams and columns. The new element
accurately simulates the experimental results of a rocking column undergone a series of bi-axial loading. To demonstrate its
advantages in large-scale simulations, the new element is also used to model the dynamic response of a large-scale
structure. The results indicate that this new element shows highly promising potentials for large-scale structural analysis.",,"Lee CL (2017). Force-Based Beam-Column Element with Multispring Models for Modelling Post-Tensioned Rocking Members. Santiago, Chile: 16th. World Conference on Earthquake Engineering. 09/01/2017-13/01/2017.",,,,"http://hdl.handle.net/10092/14643",,"en",,,,,,,,"Field of Research::09 - Engineering::0905 - Civil Engineering::090504 - Earthquake Engineering||Field of Research::09 - Engineering::0905 - Civil Engineering::090506 - Structural Engineering",,"Rocking member||Self-centring||Beam-column element||Multispring||Unbonded post-tensioned",,,"Force-Based Beam-Column Element with Multispring Models for Modelling Post-Tensioned Rocking Members",,,"Conference Contributions - Other",,,,,
"16714","10092/13353","Cheer U||Taylor L||Masselot A||Baird N||Powell RL",,,,,"2017","In 2015 a research team in the School of Law at the University of Canterbury developed a project with the Canterbury Women’s Legal Association to gather information about flexible and part-time work practices in the Canterbury Legal Profession. For the purposes of the project, part-time work is defined as a form of employment which carries fewer hours per week than a full-time job. A flexible work arrangement is defined as an arrangement where an employee benefits from working practices that offer different degrees of structure, regularity and flexibility. Such arrangements may include the ability to choose the start and finishing time of the working day or compressed work weeks.

In November 2015 the Canterbury and Westland Branch of the Law Society, on behalf of the project team, invited all qualified lawyers practicing in the Canterbury and Westland area to participate in a short online survey examining flexible and part-time working arrangements. An invitation was also sent to all legal executives working in the same area. 

One hundred and thirty eight responses were received and over 90% of these were from female lawyers and legal executives. Although lower participation rate by males is reported in other studies focusing on the legal profession, the gender split in the responses in this project was far more pronounced, suggesting a lack of interest by local male lawyers in this issue. 

Survey participants were either practising lawyers or legal executives, with legal executives making up 21% of the survey cohort. Fifteen percent of the cohort identified as employers. Ninety six percent of the employee cohort was working on a permanent contract of employment. Just under 50% of the employee cohort were working under a flexible or part-time arrangement.",,"Cheer U, Taylor L, Masselot A, Baird N, Powell RL (2017). Flexible and Part-time Work Arrangements in the Canterbury Legal Profession.  Canterbury Women's Legal Association.",,,,"http://hdl.handle.net/10092/14958",,"en",,"University of Canterbury",,,,,"http://www.cwla.org.nz/Read-our-News-Opportunities/Articles/2017/07/Flexible-and-Part-time-Work-Arrangements-in-the-Canterbury-Legal-Profession/","Field of Research::18 - Law and Legal Studies::1801 - Law::180119 - Law and Society||Field of Research::18 - Law and Legal Studies::1801 - Law::180118 - Labour Law||Field of Research::15 - Commerce, Management, Tourism and Services::1503 - Business and Management::150305 - Human Resources Management||Field of Research::16 - Studies in Human Society::1608 - Sociology",,,,,"Flexible and Part-time Work Arrangements in the Canterbury Legal Profession : A Report prepared by the University of Canterbury Socio-Legal Research Group for the Canterbury Women’s Legal Association",,,"Reports",,,,,
"16757","10092/13353","Ross T",,,,,"2017","This paper suggests that Pacific groups are positioned narrowly in New Zealand publicness, often in ways that run counter to Pacific audiences’ demand for in-depth news and information and public debate. Focus groups held with Pacific audiences at several urban centres in New Zealand found that Pacific news media are a key site of Pacific people’s publicness in New Zealand. Audiences looked to Pacific media (and, interestingly, Māori media) to fulfil their expectations for timely, in-depth and high-quality journalism, and for a space in which their communities could safely discuss issues and enact their citizenship. However, it is clear that more could be done to realise this role, not just on the part of Pacific media producers, but also funders and policy makers whose focus on Pacific media in terms of ethnicity and culture tends to overlook audiences’ demand for in-depth news and debate. This paper concludes that viewing ethnic media within categories of ethnicity or culture (as do funders, scholars and, often, media producers) risks both exaggerating the ‘otherness’ of ethnic minority groups and overlooking Pacific audiences’ media needs in terms of their participation in society. Instead, it suggests, policy-makers and funders could do more to recognise the journalistic and public sphere roles of the Pacific news media they fund.",,"Ross T (2017). Mediating publicness: An analysis of Pacific audiences’ desire for a sphere of their own in Aotearoa/New Zealand. Pacific Dynamics: Journal of Interdisciplinary Research. 1(1). 119-132.",,"2463-641X",,"http://hdl.handle.net/10092/14953",,"en",,,,,"Creative Commons Attribution 4.0.",,"http://pacificdynamics.nz/","Field of Research::20 - Language, Communication and Culture::2001 - Communication and Media Studies::200104 - Media Studies||Field of Research::19 - Studies in the Creative Arts and Writing::1903 - Journalism and Professional Writing::190301 - Journalism Studies||Field of Research::20 - Language, Communication and Culture::2002 - Cultural Studies::200210 - Pacific Cultural Studies",,"Pacific media||journalism||public sphere||ethnic minority media",,,"Mediating publicness: An analysis of Pacific audiences’ desire for a sphere of their own in Aotearoa/New Zealand",,,"Journal Article",,,,,
"16826","10092/13353","Kirk RC||Halim, A||Basu, A",,,,,"2017",,,"Kirk RC, Halim A, Basu A (2017). The Effect of Area Level Deprivation on Obesity in New Zealand: Analysis of The New Zealand Health Survey. . [conference poster].",,,,"http://hdl.handle.net/10092/14959",,"en",,,,,,,,"Field of Research::16 - Studies in Human Society::1603 - Demography::160301 - Family and Household Studies||Field of Research::20 - Language, Communication and Culture::2002 - Cultural Studies::200203 - Consumption and Everyday Life||Field of Research::16 - Studies in Human Society::1604 - Human Geography::160403 - Social and Cultural Geography||Field of Research::16 - Studies in Human Society::1604 - Human Geography::160401 - Economic Geography",,,,,"The Effect of Area Level Deprivation on Obesity in New Zealand: Analysis of The New Zealand Health Surveys",,,"Conference Contributions - Other",,,,,
"17896","10092/13353","Ross T",,,,,"2017",,,"Ross T (2017). 'Locating Ourselves: Strategic Practices of Identity and Connection in Aotearoa/New Zealand's Pacific News Media."". Sydney: Australia New Zealand Communication Association (ANZCA) Conference. 04/07/2017-07/07/2017.",,,,"http://hdl.handle.net/10092/15425",,"en",,,,,,,,"Field of Research::20 - Language, Communication and Culture::2002 - Cultural Studies::200210 - Pacific Cultural Studies||Field of Research::20 - Language, Communication and Culture::2002 - Cultural Studies::200212 - Screen and Media Culture",,,,,"'Locating Ourselves: Strategic Practices of Identity and Connection in Aotearoa/New Zealand's Pacific News Media.""",,,"Conference Contributions - Other",,,,,
"18076","10092/13353",,"Light RL||Evans JR",,,,"2013","Bourdieu's analytic concept of habitus has provided a valuable means of theorising coach development but is yet to be operationalised in empirical research. This article redresses this oversight by drawing on a larger study that inquired into how the 'coaching habitus' of elite-level Australian and New Zealand rugby coaches structured their interpretation and use of the Game Sense approach to coaching to illustrate how habitus can be operationalised. It focuses on the identification of characteristics of the individual coaching habitus of four elite-level Australian rugby coaches and how they shape their interpretation and use of Game Sense. Drawing on suggestions made by Lau, we identify the characteristics of four individual 'coaching habitus' by examining their views on: (1) the characteristics of good coaches; (2) characteristics of great rugby players and how to develop them; and (3) their dispositions towards innovation in coaching. © 2013 Copyright Taylor and Francis Group, LLC.",,"Light RL, Evans JR (2013). Dispositions of elite-level Australian rugby coaches towards Game Sense: characteristics of their coaching habitus. Sport, Education and Society. 18(3). 407-423.",,,"1357-3322||1470-1243",,"http://hdl.handle.net/10092/15365","en",,,,,,,"10.1080/13573322.2011.593506","Field of Research::17 - Psychology and Cognitive Sciences::1701 - Psychology::170114 - Sport and Exercise Psychology||Field of Research::13 - Education::1303 - Specialist Studies in Education::130309 - Learning Sciences||Field of Research::13 - Education::1303 - Specialist Studies in Education::130313 - Teacher Education and Professional Development of Educators",,,,,"Dispositions of elite-level Australian rugby coaches towards Game Sense: characteristics of their coaching habitus",,,"Journal article",,,,,
"18174","10092/13353","Campbell DI",,,,,"2017","David Lewis describes, then attempts to refute, a simple anti-Humean theory of desire he calls ‘Desire as Belief’. Lewis’ critics generally accept that his argument is sound and focus instead on trying to show that its implications are less severe than appearances suggest. In this paper I argue that Lewis’ argument is unsound. I show that it rests on an essential assumption that can be straightforwardly proven false using ideas and principles to which Lewis is himself committed.",,,,,,"http://hdl.handle.net/10092/15296",,"en",,,,,,,,"Field of Research::22 - Philosophy and Religious Studies::2203 - Philosophy::220302 - Decision Theory||Field of Research::22 - Philosophy and Religious Studies::2203 - Philosophy::220312 - Philosophy of Cognition||Field of Research::22 - Philosophy and Religious Studies::2203 - Philosophy::220314 - Philosophy of Mind (excl. Cognition)||Field of Research::22 - Philosophy and Religious Studies::2203 - Philosophy::220308 - Logic",,,,,"Against Lewis on ‘Desire as Belief’",,,"Journal Article",,,,,
"18455","10092/13353","Pitman SJ",,,,,"2014","Swash action is the dominant process responsible for the cross-shore exchange of sediment between the subaerial and subaqueous zones, with a significant part of the littoral drift also taking place as a result of swash motions. The swash zone is the area of the beach between the inner surfzone and backbeach that is intermittently submerged and exposed by the processes of wave uprush and backwash. Given the dominant role that swash plays in the morphological evolution of a beach, it is important to understand and quantify the main processes. The extent of swash (horizontally and vertically), current velocities and suspended sediment concentrations are all parameters of interest in the study of swash processes. In situ methods of measurements in this energetic zone were instrumental in developing early understanding of swash processes, however, the field has experienced a shift towards remote sensing methods. This article outlines the emergence of high precision technologies such as video imaging and LIDAR (light detection and ranging) for the study of swash processes. Furthermore, the applicability of these methods to large-scale datasets for quantitative analysis is demonstrated.",,,,"2047-0371",,"http://hdl.handle.net/10092/15357",,"en",,,,,"The article is distributed under the Creative Commons Attribution 4.0 License.",,,"Field of Research::04 - Earth Sciences::0405 - Oceanography",,"run-up||LIDAR||morphodynamics||coastal imaging||video",,,"Methods for field measurement and remote sensing of the swash zone",,,"Chapters",,,,,
"18461","10092/13353","Zhao D||Li, Xuan||Li, Xinyan",,,,,"2018","In this work, the effects of background noises on nonlinear dynamics of a modelled standing-wave thermoacoustic system with subcritical Hopf bifurcation behaviors are studied. These noises include (1) pressure-coupled (acoustic), (2) velocity-coupled (flow), and (3) external combustion noise. It is found that these three types of background noises play important, but different roles in changing the hysteresis width and stability boundary. In addition, the stochastic transition from stability to instability is investigated, as the noise intensity is varied. Two different stochastic P-bifurcations are identified. One is related to a craterlike probability density distribution. The other is associated with a probability density distribution characterized with two peaks and one trough. With each type of noise affecting the system's stochastic behaviors being evaluated, the effect of two different types of noises is then studied. It is shown that the combined noises (types 1 and 2) cannot only destabilize global stable thermoacoustic system, but also stabilize linearly unstable system. This depends strongly on the superimposition form of the two types of noises. In addition, when the thermoacoustic system is disturbed by the combined noise (types 3 and 1 or types 3 and 2), the transition process is dominated by the combustion noise.",,,,"0001-4966",,"http://hdl.handle.net/10092/15356",,"en",,,,,,,"10.1121/1.5020059","Field of Research::09 - Engineering::0913 - Mechanical Engineering||Field of Research::09 - Engineering::0901 - Aerospace Engineering",,,,,"Effects of background noises on nonlinear dynamics of a modelled thermoacoustic combustor",,,"Journal Article",,,,,
"18440","10092/13353","Kim D-J||Kim H-W||Hwang K-H||Albrow MD||Chung S-J||Gould A||Han C||Jung YK||Ryu Y-H||Shin I-G||Yee JC||Zhu W||Cha S-M||Kim S-L||Lee C-U||Lee Y||Park B-G||Pogge RW",,,,,"2017","We present microlensing events in the 2015 Korea Microlensing Telescope
Network (KMTNet) data and our procedure for identifying these events. In
particular, candidates were detected with a novel ""completed event""
microlensing event-finder algorithm. The algorithm works by making linear fits
to a (t0,teff,u0) grid of point-lens microlensing models. This approach is
rendered computationally efficient by restricting u0 to just two values (0 and
1), which we show is quite adequate. The implementation presented here is
specifically tailored to the commission-year character of the 2015 data, but
the algorithm is quite general and has already been applied to a completely
different (non-KMTNet) data set. We outline expected improvements for 2016 and
future KMTNet data. The light curves of the 660 ""clear microlensing"" and 182
""possible microlensing"" events that were found in 2015 are presented along with
our policy for their public release.",,,,,,"http://hdl.handle.net/10092/15288",,"en",,,,,,,,"Field of Research::02 - Physical Sciences::0201 - Astronomical and Space Sciences::020102 - Astronomical and Space Instrumentation||Field of Research::02 - Physical Sciences::0201 - Astronomical and Space Sciences::020110 - Stellar Astronomy and Planetary Systems",,"astro-ph.EP||astro-ph.IM||gravitational lensing: micro||methods: numerical||planetary systems",,,"Korea Microlensing Telescope Network Microlensing Events from 2015:  Event-Finding Algorithm, Vetting, and Photometry",,,"Journal Article",,,,,
"18454","10092/13353","Gallop S||Bryan K||Pitman SJ||Ranasinghe R||Sandwell D",,,,,"2015","Rip currents are the main cause of beach rescues and fatalities. Key drivers of rip current hazard are: (1) fast
current speeds; and (2) the exit rate of floating material from inside to outside of the surf zone. Exit rates may
vary temporally, such as due to Very Low Frequency (VLF) motions, which have a period on the order of 10
minutes. However, there is little field data to determine the driver(s) of exit rate. Therefore, the aim of this
research was to determine rip current circulation patterns, and specifically, determine their relationship to
surf zone exits, on a high-energy dissipative beach. Three days of field measurements were undertaken at
Ngarunui Beach, New Zealand. Three daily surf zone flow patterns were found: (1) alongshore; (2) surf zone
eddy with high exit rate; and (3) surf zone eddy with no exits. There were strong infragravity peaks in energy
within the surf zone, at 30-45s, although none at VLF (~10 minute) frequencies. Further research is
underway to determine what drove the high surf zone exit rate observed at Ngarunui Beach.",,,,,,"http://hdl.handle.net/10092/15281",,"en",,,,,,,,"Field of Research::04 - Earth Sciences::0405 - Oceanography::040503 - Physical Oceanography||Field of Research::04 - Earth Sciences::0406 - Physical Geography and Environmental Geoscience::040604 - Natural Hazards||Field of Research::05 - Environmental Sciences::0502 - Environmental Science and Management::050299 - Environmental Science and Management not elsewhere classified",,"rip currents||video imagery||dissipative beach||surf zone||infragravity waves",,,"Rip current observations on a low-sloping dissipative beach",,,"Conference Contributions - Other",,,,,
"18592","10092/13353","Dixon L||Gray E||McDonald C||Gullam J||Powell RL",,,,,"2017","Background: Over the last few decades the management of a breech baby at term has been immersed
in controversy. It is important that New Zealand midwives and doctors have sufficient understanding
of the evidence to be able to effectively counsel women to make an informed decision when a baby
presents in a breech position at term.
Aims: To review the evidence and international guidance related to mode of birth for singleton
breech presentation at term, identify the current evidence and gaps in knowledge and highlight how
the evidence can be used to support women within the New Zealand context of maternity care.
Method: We searched Scopus, PubMed and the Cochrane Database of Systematic Reviews for
peer reviewed publications about term breech presentation. The search terms used were ""breech
presentation"" and ""term"". Limiters were set for the time period between 2000 and 2015, English
language, human pregnancies, and peer reviewed journals.
Findings: We found 456 published papers covering breech presentation related to clinical outcomes,
professional commentaries, professional guidelines and the woman’s perspectives. We identified
and retrieved 37 papers as relevant to our search criteria. We report specifically on the papers that
provided professional commentary (detailed critique of the evidence), clinical studies, systematic
reviews, meta-analyses and professional guidelines.
Following the publication of the Term Breech Trial there was a change in practice to that of
recommending planned caesarean section for term breech presentation. Subsequent critiques and
reviews have identified concerns with the study which undermine its reliability. Further retrospective/
prospective studies, a systematic review and a meta-analysis have demonstrated equivocal results and
suggest that perinatal mortality during vaginal breech births can be reduced when strict criteria
are applied and an experienced clinician is involved. Many professional guidelines now advise that
offering women the option of a vaginal breech birth is reasonable.
Conclusion: New Zealand midwives and doctors need to be in a position to inform women with
breech presenting babies about factors that support the safety of vaginal breech birth, as well as about
the benefits and potential harms of both caesarean section and vaginal breech birth, to support their
decision making.",,,,"0114-7870",,"http://hdl.handle.net/10092/15568",,"en",,"New Zealand College of Midwives",,,,,"https://www.midwife.org.nz/resources-events/issue-54","Field of Research::11 - Medical and Health Sciences::1114 - Paediatrics and Reproductive Medicine::111402 - Obstetrics and Gynaecology||Field of Research::11 - Medical and Health Sciences::1110 - Nursing::111006 - Midwifery",,"breech||term||birth||evidence||guidelines",,,"Singleton breech presentation at term: Review of the evidence and international guidelines for application to the New Zealand context",,,"Journal Article",,,,,
